npc_id,name,region,role,service_or_quest_tier,affinity,art_requirement
NPC_06_06,Sunscar NPC 6,Sunscar Desert,Mayor/Story,Quest/Service tier 6,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_07_01,Celestine NPC 1,Celestine Ruins,Bounty Board Keeper,Quest/Service tier 7,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_07_02,Celestine NPC 2,Celestine Ruins,Dungeon Guide,Quest/Service tier 7,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_07_03,Celestine NPC 3,Celestine Ruins,Craft Master,Quest/Service tier 7,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_07_04,Celestine NPC 4,Celestine Ruins,Mayor/Story,Quest/Service tier 7,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_07_05,Celestine NPC 5,Celestine Ruins,Blacksmith,Quest/Service tier 7,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_07_06,Celestine NPC 6,Celestine Ruins,Alchemist,Quest/Service tier 7,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_08_01,Frostpeak NPC 1,Frostpeak Highlands,Craft Master,Quest/Service tier 8,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_08_02,Frostpeak NPC 2,Frostpeak Highlands,Mayor/Story,Quest/Service tier 8,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_08_03,Frostpeak NPC 3,Frostpeak Highlands,Blacksmith,Quest/Service tier 8,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_08_04,Frostpeak NPC 4,Frostpeak Highlands,Alchemist,Quest/Service tier 8,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_08_05,Frostpeak NPC 5,Frostpeak Highlands,General Merchant,Quest/Service tier 8,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_08_06,Frostpeak NPC 6,Frostpeak Highlands,Storage,Quest/Service tier 8,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_09_01,Abyss NPC 1,Abyss Gate,Blacksmith,Quest/Service tier 9,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_09_02,Abyss NPC 2,Abyss Gate,Alchemist,Quest/Service tier 9,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_09_03,Abyss NPC 3,Abyss Gate,General Merchant,Quest/Service tier 9,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_09_04,Abyss NPC 4,Abyss Gate,Storage,Quest/Service tier 9,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_09_05,Abyss NPC 5,Abyss Gate,Auctioneer,Quest/Service tier 9,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_09_06,Abyss NPC 6,Abyss Gate,Guild Registrar,Quest/Service tier 9,Affinity unlock at 20/50/80,Front/back/left/right turnaround required
NPC_DW_ELRIC,Mayor Elric,Dawnwatch Village,Mayor/Story,Unique named NPC,Story/faction,4-way turnaround + portrait
NPC_DW_ROWAN,Smith Rowan,Dawnwatch Village,Blacksmith,Unique named NPC,Story/faction,4-way turnaround + portrait
NPC_DW_MINA,Priestess Mina,Dawnwatch Village,Healer,Unique named NPC,Story/faction,4-way turnaround + portrait
NPC_DW_LYSA,Scout Lysa,Dawnwatch Village,Story/Scout,Unique named NPC,Story/faction,4-way turnaround + portrait
NPC_AB_VEYA,Oracle Veya,Abyss Gate,Raid/Story,Unique named NPC,Story/faction,4-way turnaround + portrait
NPC_AB_MIRR,Shade Broker Mirr,Abyss Gate,Endgame Vendor,Unique named NPC,Story/faction,4-way turnaround + portrait
