quest_id,region,level,title,objective_type,objective,reward
SQ_08_01,Frostpeak Highlands,53,Frostpeak Highlands Yan Görev 1,Kill,Yan görev objective 1,Gold + region reputation + material tier 8
SQ_08_02,Frostpeak Highlands,54,Frostpeak Highlands Yan Görev 2,Collect,Yan görev objective 2,Gold + region reputation + material tier 8
SQ_08_03,Frostpeak Highlands,55,Frostpeak Highlands Yan Görev 3,Delivery,Yan görev objective 3,Gold + region reputation + material tier 8
SQ_08_04,Frostpeak Highlands,56,Frostpeak Highlands Yan Görev 4,Craft,Yan görev objective 4,Gold + region reputation + material tier 8
SQ_08_05,Frostpeak Highlands,57,Frostpeak Highlands Yan Görev 5,Explore,Yan görev objective 5,Gold + region reputation + material tier 8
SQ_08_06,Frostpeak Highlands,58,Frostpeak Highlands Yan Görev 6,Bounty,Yan görev objective 6,Gold + region reputation + material tier 8
SQ_08_07,Frostpeak Highlands,59,Frostpeak Highlands Yan Görev 7,Event,Yan görev objective 7,Gold + region reputation + material tier 8
SQ_08_08,Frostpeak Highlands,59,Frostpeak Highlands Yan Görev 8,MiniBoss,Yan görev objective 8,Gold + region reputation + material tier 8
SQ_09_01,Abyss Gate,66,Abyss Gate Yan Görev 1,Kill,Yan görev objective 1,Gold + region reputation + material tier 9
SQ_09_02,Abyss Gate,67,Abyss Gate Yan Görev 2,Collect,Yan görev objective 2,Gold + region reputation + material tier 9
SQ_09_03,Abyss Gate,68,Abyss Gate Yan Görev 3,Delivery,Yan görev objective 3,Gold + region reputation + material tier 9
SQ_09_04,Abyss Gate,69,Abyss Gate Yan Görev 4,Craft,Yan görev objective 4,Gold + region reputation + material tier 9
SQ_09_05,Abyss Gate,70,Abyss Gate Yan Görev 5,Explore,Yan görev objective 5,Gold + region reputation + material tier 9
SQ_09_06,Abyss Gate,71,Abyss Gate Yan Görev 6,Bounty,Yan görev objective 6,Gold + region reputation + material tier 9
SQ_09_07,Abyss Gate,72,Abyss Gate Yan Görev 7,Event,Yan görev objective 7,Gold + region reputation + material tier 9
SQ_09_08,Abyss Gate,72,Abyss Gate Yan Görev 8,MiniBoss,Yan görev objective 8,Gold + region reputation + material tier 9
