recipe_id,name,profession,required_level,ingredients,output,gold_cost
REC_024,Alchemy Recipe 24,Alchemy,31,Material_A x 5; Material_B x 3,CraftedItem_024,82
REC_025,Enchanting Recipe 25,Enchanting,41,Material_A x 1; Material_B x 4,CraftedItem_025,85
REC_026,Cooking Recipe 26,Cooking,51,Material_A x 2; Material_B x 1,CraftedItem_026,88
REC_027,Jewelcrafting Recipe 27,Jewelcrafting,61,Material_A x 3; Material_B x 2,CraftedItem_027,91
REC_028,Blacksmithing Recipe 28,Blacksmithing,71,Material_A x 4; Material_B x 3,CraftedItem_028,94
REC_029,Leatherworking Recipe 29,Leatherworking,81,Material_A x 5; Material_B x 4,CraftedItem_029,97
REC_030,Tailoring Recipe 30,Tailoring,91,Material_A x 1; Material_B x 1,CraftedItem_030,100
REC_031,Alchemy Recipe 31,Alchemy,1,Material_A x 2; Material_B x 2,CraftedItem_031,103
REC_032,Enchanting Recipe 32,Enchanting,11,Material_A x 3; Material_B x 3,CraftedItem_032,106
REC_033,Cooking Recipe 33,Cooking,21,Material_A x 4; Material_B x 4,CraftedItem_033,109
REC_034,Jewelcrafting Recipe 34,Jewelcrafting,31,Material_A x 5; Material_B x 1,CraftedItem_034,112
REC_035,Blacksmithing Recipe 35,Blacksmithing,41,Material_A x 1; Material_B x 2,CraftedItem_035,115
REC_036,Leatherworking Recipe 36,Leatherworking,51,Material_A x 2; Material_B x 3,CraftedItem_036,118
REC_037,Tailoring Recipe 37,Tailoring,61,Material_A x 3; Material_B x 4,CraftedItem_037,121
REC_038,Alchemy Recipe 38,Alchemy,71,Material_A x 4; Material_B x 1,CraftedItem_038,124
REC_039,Enchanting Recipe 39,Enchanting,81,Material_A x 5; Material_B x 2,CraftedItem_039,127
REC_040,Cooking Recipe 40,Cooking,91,Material_A x 1; Material_B x 3,CraftedItem_040,130
REC_041,Jewelcrafting Recipe 41,Jewelcrafting,1,Material_A x 2; Material_B x 4,CraftedItem_041,133
REC_042,Blacksmithing Recipe 42,Blacksmithing,11,Material_A x 3; Material_B x 1,CraftedItem_042,136
REC_043,Leatherworking Recipe 43,Leatherworking,21,Material_A x 4; Material_B x 2,CraftedItem_043,139
REC_044,Tailoring Recipe 44,Tailoring,31,Material_A x 5; Material_B x 3,CraftedItem_044,142
REC_045,Alchemy Recipe 45,Alchemy,41,Material_A x 1; Material_B x 4,CraftedItem_045,145
REC_046,Enchanting Recipe 46,Enchanting,51,Material_A x 2; Material_B x 1,CraftedItem_046,148
REC_047,Cooking Recipe 47,Cooking,61,Material_A x 3; Material_B x 2,CraftedItem_047,151
REC_048,Jewelcrafting Recipe 48,Jewelcrafting,71,Material_A x 4; Material_B x 3,CraftedItem_048,154
REC_049,Blacksmithing Recipe 49,Blacksmithing,81,Material_A x 5; Material_B x 4,CraftedItem_049,157
REC_050,Leatherworking Recipe 50,Leatherworking,91,Material_A x 1; Material_B x 1,CraftedItem_050,160
REC_051,Tailoring Recipe 51,Tailoring,1,Material_A x 2; Material_B x 2,CraftedItem_051,163
REC_052,Alchemy Recipe 52,Alchemy,11,Material_A x 3; Material_B x 3,CraftedItem_052,166
REC_053,Enchanting Recipe 53,Enchanting,21,Material_A x 4; Material_B x 4,CraftedItem_053,169
REC_054,Cooking Recipe 54,Cooking,31,Material_A x 5; Material_B x 1,CraftedItem_054,172
REC_055,Jewelcrafting Recipe 55,Jewelcrafting,41,Material_A x 1; Material_B x 2,CraftedItem_055,175
REC_056,Blacksmithing Recipe 56,Blacksmithing,51,Material_A x 2; Material_B x 3,CraftedItem_056,178
REC_057,Leatherworking Recipe 57,Leatherworking,61,Material_A x 3; Material_B x 4,CraftedItem_057,181
REC_058,Tailoring Recipe 58,Tailoring,71,Material_A x 4; Material_B x 1,CraftedItem_058,184
REC_059,Alchemy Recipe 59,Alchemy,81,Material_A x 5; Material_B x 2,CraftedItem_059,187
REC_060,Enchanting Recipe 60,Enchanting,91,Material_A x 1; Material_B x 3,CraftedItem_060,190
