skill_id,name,unlock_level,type,rank,description,power_coefficient,cooldown_s,resource_cost,hitbox,cc_status,threat,pvp_rule,implementation_note
SKL_MAG_004,Mana Shield,10,Active,4,Barrier,0.0,22.2,33,Self,Absorb via mana,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_004,Mana Shield,10,Active,5,Barrier,0.0,21.6,34,Self,Absorb via mana,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_005,Chain Lightning,14,Active,1,Chain AoE,1.85,12.0,32,5 targets,Shock 4s,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_005,Chain Lightning,14,Active,2,Chain AoE,2.05,11.7,33,5 targets,Shock 4s,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_005,Chain Lightning,14,Active,3,Chain AoE,2.26,11.4,34,5 targets,Shock 4s,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_005,Chain Lightning,14,Active,4,Chain AoE,2.46,11.1,35,5 targets,Shock 4s,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_005,Chain Lightning,14,Active,5,Chain AoE,2.66,10.8,36,5 targets,Shock 4s,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_006,Arcane Pulse,18,Active,1,Point blank AoE,1.7,10.0,28,4m circle,Push 0.6m,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_006,Arcane Pulse,18,Active,2,Point blank AoE,1.89,9.8,29,4m circle,Push 0.6m,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_006,Arcane Pulse,18,Active,3,Point blank AoE,2.07,9.5,30,4m circle,Push 0.6m,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_006,Arcane Pulse,18,Active,4,Point blank AoE,2.26,9.2,31,4m circle,Push 0.6m,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_006,Arcane Pulse,18,Active,5,Point blank AoE,2.45,9.0,31,4m circle,Push 0.6m,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_007,Gravity Well,24,Active,1,Pull field,0.9,18.0,40,5m circle,Pull + slow,80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_007,Gravity Well,24,Active,2,Pull field,1.0,17.6,41,5m circle,Pull + slow,80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_007,Gravity Well,24,Active,3,Pull field,1.1,17.1,42,5m circle,Pull + slow,80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_007,Gravity Well,24,Active,4,Pull field,1.2,16.7,44,5m circle,Pull + slow,80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_007,Gravity Well,24,Active,5,Pull field,1.3,16.2,45,5m circle,Pull + slow,80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_008,Meteor Shard,30,Active,1,Large AoE,2.35,16.0,45,6m circle,Burn 8s,90 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_008,Meteor Shard,30,Active,2,Large AoE,2.61,15.6,46,6m circle,Burn 8s,90 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_008,Meteor Shard,30,Active,3,Large AoE,2.87,15.2,48,6m circle,Burn 8s,90 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_008,Meteor Shard,30,Active,4,Large AoE,3.13,14.8,49,6m circle,Burn 8s,90 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_008,Meteor Shard,30,Active,5,Large AoE,3.38,14.4,50,6m circle,Burn 8s,90 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_009,Mirror Rune,38,Active,1,Spell echo,0.0,28.0,22,Self rune,Next spell repeats 45%,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_009,Mirror Rune,38,Active,2,Spell echo,0.0,27.3,23,Self rune,Next spell repeats 45%,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_009,Mirror Rune,38,Active,3,Spell echo,0.0,26.6,23,Self rune,Next spell repeats 45%,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_009,Mirror Rune,38,Active,4,Spell echo,0.0,25.9,24,Self rune,Next spell repeats 45%,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_009,Mirror Rune,38,Active,5,Spell echo,0.0,25.2,25,Self rune,Next spell repeats 45%,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_010,Frozen Domain,46,Active,1,Control field,1.2,32.0,55,7m circle,"Slow 45%, brittle",90 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_010,Frozen Domain,46,Active,2,Control field,1.33,31.2,57,7m circle,"Slow 45%, brittle",90 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_010,Frozen Domain,46,Active,3,Control field,1.46,30.4,58,7m circle,"Slow 45%, brittle",90 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_010,Frozen Domain,46,Active,4,Control field,1.6,29.6,60,7m circle,"Slow 45%, brittle",90 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_010,Frozen Domain,46,Active,5,Control field,1.73,28.8,62,7m circle,"Slow 45%, brittle",90 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_011,Astral Cataclysm,60,Active,1,Burst nuke,3.4,70.0,80,7m circle,Knockdown minor mobs,100 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_011,Astral Cataclysm,60,Active,2,Burst nuke,3.77,68.2,82,7m circle,Knockdown minor mobs,100 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_011,Astral Cataclysm,60,Active,3,Burst nuke,4.15,66.5,85,7m circle,Knockdown minor mobs,100 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_011,Astral Cataclysm,60,Active,4,Burst nuke,4.52,64.8,87,7m circle,Knockdown minor mobs,100 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_011,Astral Cataclysm,60,Active,5,Burst nuke,4.9,63.0,90,7m circle,Knockdown minor mobs,100 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_012,Eclipse Orbit,78,Ultimate,1,Overdrive,0.0,110.0,100,Self,Spell power +25% 12s,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_012,Eclipse Orbit,78,Ultimate,2,Overdrive,0.0,107.2,103,Self,Spell power +25% 12s,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_012,Eclipse Orbit,78,Ultimate,3,Overdrive,0.0,104.5,106,Self,Spell power +25% 12s,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_012,Eclipse Orbit,78,Ultimate,4,Overdrive,0.0,101.8,109,Self,Spell power +25% 12s,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_012,Eclipse Orbit,78,Ultimate,5,Overdrive,0.0,99.0,112,Self,Spell power +25% 12s,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
