monster_id,name,region,level,tier,base_hp,base_attack,xp_multiplier,loot_table,ai_profile,art_requirement
MON_05_06,Tunnel Worm,Ironroot Depths,39,Normal,35101,1298,1.0,LootTable_IRO_06,AI_Basic,Front/side/back + attack/hit/death sprite
MON_05_07,Hive Tender,Ironroot Depths,40,Elite,41982,1338,2.5,LootTable_IRO_07,AI_Elite,Front/side/back + attack/hit/death sprite
MON_05_08,Brood Guard,Ironroot Depths,42,Elite,51187,1419,2.5,LootTable_IRO_08,AI_Elite,Front/side/back + attack/hit/death sprite
MON_05_09,Fungal Brute,Ironroot Depths,43,Elite,40837,1459,2.5,LootTable_IRO_09,AI_Elite,Front/side/back + attack/hit/death sprite
MON_05_10,Resin Golem,Ironroot Depths,45,Elite,50391,1541,2.5,LootTable_IRO_10,AI_Elite,Front/side/back + attack/hit/death sprite
MON_06_01,Sand Raider,Sunscar Desert,38,Normal,38774,1258,1.0,LootTable_SUN_01,AI_Basic,Front/side/back + attack/hit/death sprite
MON_06_02,Scorpion Brute,Sunscar Desert,39,Normal,45632,1298,1.0,LootTable_SUN_02,AI_Basic,Front/side/back + attack/hit/death sprite
MON_06_03,Mirage Stalker,Sunscar Desert,40,Normal,36506,1338,1.0,LootTable_SUN_03,AI_Basic,Front/side/back + attack/hit/death sprite
MON_06_04,Dust Djinn,Sunscar Desert,42,Normal,45280,1419,1.0,LootTable_SUN_04,AI_Basic,Front/side/back + attack/hit/death sprite
MON_06_05,Sun Vulture,Sunscar Desert,43,Normal,53088,1459,1.0,LootTable_SUN_05,AI_Basic,Front/side/back + attack/hit/death sprite
MON_06_06,Ruin Sentinel,Sunscar Desert,44,Normal,42318,1500,1.0,LootTable_SUN_06,AI_Basic,Front/side/back + attack/hit/death sprite
MON_06_07,Bone Nomad,Sunscar Desert,46,Elite,52137,1582,2.5,LootTable_SUN_07,AI_Elite,Front/side/back + attack/hit/death sprite
MON_06_08,Dune Spider,Sunscar Desert,47,Elite,60936,1624,2.5,LootTable_SUN_08,AI_Elite,Front/side/back + attack/hit/death sprite
MON_06_09,Sand Wyrm,Sunscar Desert,48,Elite,48428,1665,2.5,LootTable_SUN_09,AI_Elite,Front/side/back + attack/hit/death sprite
MON_06_10,Obelisk Shade,Sunscar Desert,50,Elite,59331,1749,2.5,LootTable_SUN_10,AI_Elite,Front/side/back + attack/hit/death sprite
MON_07_01,Arcane Sentinel,Celestine Ruins,45,Normal,50391,1541,1.0,LootTable_CEL_01,AI_Basic,Front/side/back + attack/hit/death sprite
MON_07_02,Fallen Acolyte,Celestine Ruins,46,Normal,58938,1582,1.0,LootTable_CEL_02,AI_Basic,Front/side/back + attack/hit/death sprite
MON_07_03,Halo Wraith,Celestine Ruins,47,Normal,46874,1624,1.0,LootTable_CEL_03,AI_Basic,Front/side/back + attack/hit/death sprite
MON_07_04,Ether Sprite,Celestine Ruins,49,Normal,57502,1707,1.0,LootTable_CEL_04,AI_Basic,Front/side/back + attack/hit/death sprite
MON_07_05,Starbound Golem,Celestine Ruins,50,Normal,67069,1749,1.0,LootTable_CEL_05,AI_Basic,Front/side/back + attack/hit/death sprite
MON_07_06,Rune Keeper,Celestine Ruins,52,Normal,54825,1833,1.0,LootTable_CEL_06,AI_Basic,Front/side/back + attack/hit/death sprite
MON_07_07,Null Priest,Celestine Ruins,53,Elite,64939,1876,2.5,LootTable_CEL_07,AI_Elite,Front/side/back + attack/hit/death sprite
MON_07_08,Sky Drake,Celestine Ruins,55,Elite,77747,1961,2.5,LootTable_CEL_08,AI_Elite,Front/side/back + attack/hit/death sprite
MON_07_09,Lumen Wisp,Celestine Ruins,56,Elite,61499,2004,2.5,LootTable_CEL_09,AI_Elite,Front/side/back + attack/hit/death sprite
MON_07_10,Broken Arbiter,Celestine Ruins,58,Elite,74677,2090,2.5,LootTable_CEL_10,AI_Elite,Front/side/back + attack/hit/death sprite
MON_08_01,Frost Wolf,Frostpeak Highlands,52,Normal,63049,1833,1.0,LootTable_FRO_01,AI_Basic,Front/side/back + attack/hit/death sprite
MON_08_02,Glacial Troll,Frostpeak Highlands,54,Normal,75567,1918,1.0,LootTable_FRO_02,AI_Basic,Front/side/back + attack/hit/death sprite
MON_08_03,Ice Harpy,Frostpeak Highlands,56,Normal,61499,2004,1.0,LootTable_FRO_03,AI_Basic,Front/side/back + attack/hit/death sprite
MON_08_04,Snowbound Knight,Frostpeak Highlands,58,Normal,74677,2090,1.0,LootTable_FRO_04,AI_Basic,Front/side/back + attack/hit/death sprite
MON_08_05,Rime Elemental,Frostpeak Highlands,60,Normal,88973,2177,1.0,LootTable_FRO_05,AI_Basic,Front/side/back + attack/hit/death sprite
MON_08_06,Avalanche Goat,Frostpeak Highlands,62,Normal,72009,2264,1.0,LootTable_FRO_06,AI_Basic,Front/side/back + attack/hit/death sprite
MON_08_07,Temple Warden,Frostpeak Highlands,64,Elite,86987,2352,2.5,LootTable_FRO_07,AI_Elite,Front/side/back + attack/hit/death sprite
MON_08_08,Ice Drake,Frostpeak Highlands,66,Elite,103137,2441,2.5,LootTable_FRO_08,AI_Elite,Front/side/back + attack/hit/death sprite
MON_08_09,Snow Wraith,Frostpeak Highlands,68,Elite,83094,2530,2.5,LootTable_FRO_09,AI_Elite,Front/side/back + attack/hit/death sprite
MON_08_10,Frozen Giant,Frostpeak Highlands,70,Elite,99949,2619,2.5,LootTable_FRO_10,AI_Elite,Front/side/back + attack/hit/death sprite
MON_09_01,Abyss Hound,Abyss Gate,65,Normal,89103,2396,1.0,LootTable_ABY_01,AI_Basic,Front/side/back + attack/hit/death sprite
MON_09_02,Voidfiend,Abyss Gate,68,Normal,108022,2530,1.0,LootTable_ABY_02,AI_Basic,Front/side/back + attack/hit/death sprite
MON_09_03,Fallen Seraph,Abyss Gate,72,Normal,90791,2709,1.0,LootTable_ABY_03,AI_Basic,Front/side/back + attack/hit/death sprite
MON_09_04,Eclipse Cultist,Abyss Gate,76,Normal,113537,2891,1.0,LootTable_ABY_04,AI_Basic,Front/side/back + attack/hit/death sprite
MON_09_05,Star Eater,Abyss Gate,80,Normal,138967,3074,1.0,LootTable_ABY_05,AI_Basic,Front/side/back + attack/hit/death sprite
MON_09_06,Rift Crawler,Abyss Gate,84,Normal,115295,3260,1.0,LootTable_ABY_06,AI_Basic,Front/side/back + attack/hit/death sprite
MON_09_07,Null Apostle,Abyss Gate,88,Elite,142504,3447,2.5,LootTable_ABY_07,AI_Elite,Front/side/back + attack/hit/death sprite
MON_09_08,Void Golem,Abyss Gate,92,Elite,172582,3636,2.5,LootTable_ABY_08,AI_Elite,Front/side/back + attack/hit/death sprite
MON_09_09,Black Halo Wraith,Abyss Gate,96,Elite,141808,3826,2.5,LootTable_ABY_09,AI_Elite,Front/side/back + attack/hit/death sprite
MON_09_10,Malzor Hand,Abyss Gate,100,Elite,173731,4019,2.5,LootTable_ABY_10,AI_Elite,Front/side/back + attack/hit/death sprite
